experiment,n,algorithm,mean_time,std_time,relative_error
Exp3,869,Counting Sort,0.01839022999629378,0.0023319613211207194,0.12680435870517576
Exp3,869,Merge Sort,0.0017019600141793489,0.0005816590330634176,0.3417583422744993
Exp3,869,Sort,1.6429997049272017e-05,4.335007204948463e-06,0.26384710794214894
Exp3,932,Quick Sort,0.0013634099857881665,0.0005217813949679537,0.38270322236661614
Exp3,932,Quick Sort 3-Way,0.001379830006044358,0.0003512679329513823,0.25457333976841345
Exp3,932,Counting Sort,0.017397829995024948,0.0006371843435864929,0.03662435739219782
Exp3,932,Merge Sort,0.0013235799968242645,0.00023305488488428947,0.1760791833085045
Exp3,932,Sort,-8.772999281063678e-05,1.3483651686567492e-05,0.0
Exp3,1000,Quick Sort,0.0013617499847896398,0.0006627973076619069,0.4867246668369116
Exp3,1000,Quick Sort 3-Way,0.0013325100066140293,9.828729995078692e-05,0.0737610220282995
Exp3,1000,Counting Sort,0.01625699998112395,0.0021693804861177084,0.1334428546863863
Exp3,1000,Merge Sort,0.0019396599964238703,0.000898412810337583,0.46318056360082527
Exp3,1000,Sort,0.00011037997901439662,4.427367190816935e-05,0.40110237656771824
Exp3,1072,Quick Sort,0.001162599981762469,0.00012451294058879266,0.10709869477206987
Exp3,1072,Quick Sort 3-Way,0.0020332499989308417,0.0013190019829557535,0.6487160868802822
Exp3,1072,Counting Sort,0.024853589979466052,0.00723096799469745,0.29094259624753005
Exp3,1072,Merge Sort,0.0019563999958336358,0.00040620130759024865,0.20762692110779904
Exp3,1072,Sort,0.0001264499849639833,4.1740346200394466e-05,0.33009372213277327
Exp3,1149,Quick Sort,0.0014280499774031342,0.00019776864063135484,0.13848859897115867
Exp3,1149,Quick Sort 3-Way,0.0017274399986490607,6.649695533746236e-05,0.038494509441408156
Exp3,1149,Counting Sort,0.018955790007021276,0.0034956833918042157,0.18441243496100163
Exp3,1149,Merge Sort,0.002160899981390685,0.0007709345482444543,0.3567654934904974
Exp3,1149,Sort,9.703999385237689e-05,0.00012782108730658397,1.317200076300841
Exp3,1232,Quick Sort,0.001427120005246252,8.203441785304742e-05,0.05748249450044829
Exp3,1232,Quick Sort 3-Way,0.0020556499948725104,0.0005985277818281082,0.2911623006450708
Exp3,1232,Counting Sort,0.0207548699923791,0.004529628104138324,0.21824410877069045
Exp3,1232,Merge Sort,0.0020866299862973394,0.0004835533144910624,0.2317388888621853
Exp3,1232,Sort,0.00028806000482290984,0.0002566562599849317,0.8909819332354585
Exp3,1321,Quick Sort,0.0017806000076234345,0.0004114013076188585,0.23104644830814952
Exp3,1321,Quick Sort 3-Way,0.0019130000029690566,0.0001418769539461951,0.0741646386440126
Exp3,1321,Counting Sort,0.01895625003380701,0.0039925326734409645,0.21061827451740667
Exp3,1321,Merge Sort,0.0020367600023746494,0.0003290837087800247,0.1615721579353225
Exp3,1321,Sort,9.625001111999152e-05,5.66780230147645e-06,0.05888625087440873
Exp3,1417,Quick Sort,0.002987220010254532,0.001939901372503364,0.6494002336098675
Exp3,1417,Quick Sort 3-Way,0.0031774599687196315,0.0011365965524221795,0.35770601789207596
Exp3,1417,Counting Sort,0.01647849000291899,0.002263178287543993,0.13734136362877272
Exp3,1417,Merge Sort,0.0021843000082299112,0.000337371193240089,0.15445277295653362
Exp3,1417,Sort,8.402998792007569e-05,9.320267522499257e-06,0.1109159688486941
Exp3,1519,Quick Sort,0.0017819899832829833,5.9248137077358165e-05,0.03324829972848924
Exp3,1519,Quick Sort 3-Way,0.002409929991699755,0.0006778051778753113,0.28125513197885327
Exp3,1519,Counting Sort,0.020880690007470545,0.0013619845654522054,0.06522699034203008
Exp3,1519,Merge Sort,0.0031482799677178264,0.000454461092607771,0.14435218508765843
Exp3,1519,Sort,0.000427549984306097,0.00030747440323051193,0.719154284918371
Exp3,1629,Quick Sort,0.002614259987603873,0.0006176642099415392,0.23626732339948547
Exp3,1629,Quick Sort 3-Way,0.002874840039294213,0.0004752823475479091,0.1653247975719001
Exp3,1629,Counting Sort,0.020438800007104872,0.003410070070210583,0.1668429687175952
Exp3,1629,Merge Sort,0.0029677300131879746,0.0009272513385078244,0.3124446409839549
Exp3,1629,Sort,0.0003978100139647722,0.0005886855097527084,1.4798157137513361
Exp3,1747,Quick Sort,0.0025583500275388363,0.0004861501668830376,0.190024883870453
Exp3,1747,Quick Sort 3-Way,0.0028991699917241933,0.000510386838658723,0.17604584764454806
Exp3,1747,Counting Sort,0.01862106998451054,0.0027172361170795184,0.14592266284052322
Exp3,1747,Merge Sort,0.002874850027728826,0.0002883944261927051,0.10031633769102763
Exp3,1747,Sort,0.00011951999040320516,1.2358576252937021e-05,0.10340175071337357
Exp3,1873,Quick Sort,0.0027056299964897334,0.001071605717320529,0.3960651377722834
Exp3,1873,Quick Sort 3-Way,0.005512240005191416,0.0032650574343171214,0.5923286052933285
Exp3,1873,Counting Sort,0.01964597002370283,0.003579286954638838,0.18218937269681437
Exp3,1873,Merge Sort,0.0037957499967887997,0.0008075271411135595,0.21274508115569427
Exp3,1873,Sort,0.00035670000361278655,0.00021419756971049185,0.6004978063947896
Exp3,2009,Quick Sort,0.0023606600007042293,0.00017613909120616004,0.07461434139334527
Exp3,2009,Quick Sort 3-Way,0.002884810010436923,0.0001500652234353527,0.052019101047359566
Exp3,2009,Counting Sort,0.016651950008235872,0.0013271944175149125,0.07970204191452032
Exp3,2009,Merge Sort,0.003934559994377196,0.0013598665038054001,0.3456209857642937
Exp3,2009,Sort,0.0003118399996310473,0.00034028053843009645,1.0912023436143485
Exp3,2154,Quick Sort,0.003242169984150678,0.0013800386430175174,0.4256527726071814
Exp3,2154,Quick Sort 3-Way,0.0035754799959249795,0.000919507397977218,0.25717033769597153
Exp3,2154,Counting Sort,0.017170989979058505,0.0017427382640737617,0.1014931734395734
Exp3,2154,Merge Sort,0.004222609999123961,0.0008928202236844506,0.21143800253153347
